Molecule,Canonical_Smiles,category
CHEMBL360258,CC(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)N4C(=O)N(CC(F)(F)F)c5ccccc45)c6ccc(Cl)c(C)c6,Cys
CHEMBL362688,CC(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)n4c(O)nc5cc(C)ccc45)c6ccc(Cl)c(C)c6,Cys
CHEMBL1762353,FCCOc1ccc(CN2C(=O)C(=O)c3cc(ccc23)S(=O)(=O)N4CCC[C@H]4COc5cccnc5)cc1,Cys
CHEMBL1762346,FCCOc1ccc(CN2C(=O)C(=O)c3cc(ccc23)S(=O)(=O)N4CC[C@H]4COc5ccccc5)cc1,Cys
CHEMBL1762356,FCCOc1ccc(CN2C(=O)C(=C(C#N)C#N)c3cc(ccc23)S(=O)(=O)N4CC[C@H]4COc5cccnc5)cc1,Cys
CHEMBL356378,CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)Nc1ccon1,Cys
CHEMBL81037,CCC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc2ccncc2,Asp
CHEMBL1762360,FCCOc1ccc(CN2C(=O)C(=C(C#N)C#N)c3cc(ccc23)S(=O)(=O)N4CCC[C@H]4COc5cccnc5)cc1,Cys
CHEMBL1835325,CC(C)[C@H](NC(=O)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C(C)C)C(=O)N1CCc2ccc(C)cc2C1C(=O)N[C@H]3CC(=O)OC3O,Cys
CHEMBL1821823,CC(Cc1cc2cc(ccc2nc1N)c3ccccc3C)C(=O)NCc4cncs4,Asp
CHEMBL1818061,COC(=O)NCCO[C@H]([C@@H]1CCCN(C1)C(=O)[C@H]2C[C@@H](N)[C@@H](O)C2)c3cccc(F)c3c4cccc(C)c4,Asp
CHEMBL1762355,FCCOCCOc1ccc(CN2C(=O)C(=C(C#N)C#N)c3cc(ccc23)S(=O)(=O)N4CC[C@H]4COc5ccccc5)cc1,Cys
CHEMBL1818060,COCCCC[C@](O)([C@@H]1CCCN(C1)C(=O)[C@H]2C[C@@H](N)[C@@H](O)C2)c3cccc(Cl)c3c4cccc(Cl)c4,Asp
CHEMBL1818058,COCCCC[C@](O)([C@@H]1CCCN(C1)C(=O)[C@H]2C[C@@H](N)[C@@H](O)C2)c3cccc(Cl)c3c4cccc(C)c4,Asp
CHEMBL1818052,COCCCC[C@](O)([C@@H]1CCCN(C1)C(=O)[C@H]2C[C@@H](N)[C@@H](O)C2)c3ccccc3c4cccc(C)c4,Asp
CHEMBL90683,CC[C@@H](O)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)CNC(=O)[C@H](Cc2ccccc2)NS(=O)(=O)N3CCOCC3,Asp
CHEMBL385374,CCCC[C@H](NC[C@@H]1Cc2cccc(CCCCc3cc(cc(c3)C(=O)N1)N(CCC)S(=O)(=O)C)c2)C(=O)NCC(C)C,Asp
CHEMBL384496,CC[C@H](NCC1Cc2cccc(OCCNC(=O)c3cc(cc(c3)C(=O)N1)N(C)S(=O)(=O)C)c2)C(=O)NCC(C)C,Asp
CHEMBL1907830,O=C1Nc2ccc(cc2C1=O)S(=O)(=O)N3CCC[C@H]3CNc4ccccc4,Cys
CHEMBL443319,FC(F)(F)[C@@H](N[C@@H](CS(=O)(=O)c1ccc(Cl)c(Cl)c1)C(=O)NC2(CC2)C#N)c3ccccc3,Cys
CHEMBL249495,CC(C)C[C@H](N[C@@H](c1ccc(cc1)c2ccc(cc2)S(=O)(=O)C)C(F)(F)F)C(=O)NC3(CC3)C#N,Cys
CHEMBL251117,Fc1ccc(cc1)[C@H](N[C@@H](CS(=O)(=O)c2ccc(Cl)c(Cl)c2)C(=O)NC3(CC3)C#N)C(F)(F)F,Cys
CHEMBL251114,Fc1ccc(cc1)[C@H](N[C@@H](CS(=O)(=O)c2ccc(F)cc2)C(=O)NC3(CC3)C#N)C(F)(F)F,Cys
CHEMBL253800,CCCC(CCC)S(=O)(=O)CC(NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc3cccc(OC)c3,Asp
CHEMBL482269,NC(=O)c1cccc(OCc2cc3cnc(nc3n2CCC4CCCCC4)C#N)c1,Cys
CHEMBL200927,Oc1ccc(CN2C(=O)C(=O)c3cc(ccc23)S(=O)(=O)N4CCC[C@H]4COc5ccccc5)cc1,Cys
CHEMBL538092,Cl.COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCN2CCC(O)CC2)C(C)C)ccc1OC,Asp
CHEMBL536749,Cl.COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCC(C)(C)N2CCOCC2)C(C)C)ccc1OC,Asp
CHEMBL437526,CCO[C@@H]1OC(=O)C[C@@H]1NC(=O)[C@@H]2CCCN3N2C(=O)[C@H](CCC3=O)NC(=O)c4nccc5ccccc45,Cys
CHEMBL88359,CS(=O)(=O)N1CCC[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C=O,Cys
CHEMBL87146,O=C[C@H](Cc1ccccc1)NC(=O)[C@@H]2C[C@H](CN2S(=O)(=O)c3ccccc3)OS(=O)(=O)c4ccccc4,Cys
CHEMBL212627,O=C(Nc1cc(ccc1N2CCN(CC2)C(=O)c3ccccc3)c4ccccc4)c5cccc6ccccc56,Asp
CHEMBL395013,CC(C)N1CC[C@](C1)(NC(=O)[C@H](CC2CCCCC2)CC(=O)N3CCOCC3)C#N,Cys
CHEMBL442714,OCC1=CC[C@H](NC(=O)c2ccc3ccccc3c2)C(=O)N(CC(=O)N[C@H]4CC(=O)OC4O)C1,Cys
CHEMBL209626,OC1OC(=O)C[C@@H]1NC(=O)C2(CCCCC2)C(=O)NNC(=O)c3cccc4ccccc34,Cys
CHEMBL536084,Cl.COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCCC(=O)N)C(C)C)ccc1OC,Asp
CHEMBL537223,Cl.COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCCc2nn[nH]n2)C(C)C)ccc1OC,Asp
CHEMBL539856,Cl.COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NC(C)CN2CCOCC2)C(C)C)ccc1OC,Asp
CHEMBL537876,Cl.COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NC[C@@H](C)C(=O)N)C(C)C)ccc1OC,Asp
CHEMBL540885,Cl.COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)N[C@H](C)CC(=O)N)C(C)C)ccc1OC,Asp
CHEMBL393354,CCCC[C@H](NC(=O)O[C@H](Cn1ccc(n1)c2ccncc2)C(C)(C)C)C(=O)CNS(=O)(=O)c3ccccn3,Cys
CHEMBL328412,CC(C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](NC(=O)C)C(=O)O)C(=O)N[C@H]1CC(=O)OC1O,Cys
