Molecule;Canonical Smiles;Standard Type;Standard Value;pChEMBL Value;Molecular Weight;ALogP
CHEMBL471123;CC1=CC[C@@H]2[C@@H](C1)c3c(O)cc(cc3OC2(C)C)C(C)(C)c4ccc(F)cc4;Ki;76.1;7.12;380.5;6.47
CHEMBL108085;CCCCCCC1(OCCO1)c2cc(O)c3[C@@H]4CC(=CC[C@H]4C(C)(C)Oc3c2)C;Ki;0.5;9.3;400.56;6.17
CHEMBL2206834;CCCCCn1cc(C(=O)c2ccc(Br)c3ccccc23)c4ccccc14;Ki;1.2;8.92;420.35;6.98
CHEMBL527071;CC(C)CCN1C(=O)N(C(=O)N[C@H](C(=O)N)C(C)(C)C)c2ccccc12;Ki;69;7.16;360.46;2.31
CHEMBL2206846;CCCCCn1cc(C(=O)c2cccc3cccc(Br)c23)c4ccccc14;Ki;21;7.68;420.35;6.98
CHEMBL487463;CC1=CC[C@@H]2[C@@H](C1)c3c(O)cc(cc3OC2(C)C)C(C)(C)c4ccc(Br)cc4;Ki;5.03;8.3;441.41;7.09
CHEMBL471366;CC1=CC[C@@H]2[C@@H](C1)c3c(O)cc(cc3OC2(C)C)C(C)(C)c4cccc(c4)C#N;Ki;2.72;8.56;387.52;6.2
CHEMBL191324;CC1=CC[C@@H]2[C@@H](C1)c3c(O)cc(C=C4C5CC6CC(CC4C6)C5)cc3OC2(C)C;Ki;48.6;7.31;390.57;6.84
CHEMBL480107;CC1=CC[C@@H]2[C@@H](C1)c3c(O)cc(CC45CC6CC(CC(C6)C4)C5)cc3OC2(C)C;Ki;29.3;7.53;392.58;6.76
CHEMBL2153771;CC(C)[C@H](N\C(=N/S(=O)(=O)c1ccc(Cl)cc1)\N2CC(C(=N2)c3ccc(Cl)cc3)c4ccccc4)C(=O)N[C@@H](C)C(=O)N;IC50;100;7;643.6;4.15
CHEMBL2153674;C[C@@H](O)[C@H](N\C(=N\S(=O)(=O)c1ccc(Cl)cc1)\N2CC(C(=N2)c3ccc(Cl)cc3)c4ccccc4)C(=O)N;IC50;7;8.15;574.49;3.37
CHEMBL2153757;NC(=O)[C@H](CO)N\C(=N/S(=O)(=O)c1ccc(Cl)cc1)\N2CC(C(=N2)c3ccc(Cl)cc3)c4ccccc4;IC50;13;7.89;560.46;2.98
CHEMBL2153758;NC(=O)[C@@H](O)CCN\C(=N/S(=O)(=O)c1ccc(Cl)cc1)\N2CC(C(=N2)c3ccc(Cl)cc3)c4ccccc4;IC50;66;7.18;574.49;3.37
CHEMBL2153764;NC(=O)CNC(=O)CN\C(=N/S(=O)(=O)c1ccc(Cl)cc1)\N2CC(C(=N2)c3ccc(Cl)cc3)c4ccccc4;IC50;25;7.6;587.49;2.73
CHEMBL1097795;CC1(C)C[C@@H](NC(=O)c2cccc3[nH]ncc23)c4cc(c5ccc(Cl)cc5)c(nc4O1)c6ccc(Cl)cc6Cl;IC50;1.3;8.89;577.9;8.28
CHEMBL1084558;Clc1ccc(cc1)c2cc3C(=O)CC4(CCSCC4)Oc3nc2c5ccccc5Cl;IC50;4.9;8.31;456.39;6.95
CHEMBL1094847;CC(C)(O)C(=O)NC1CC(C)(C)Oc2nc(c3ccc(Cl)cc3Cl)c(cc12)c4ccc(Cl)cc4;IC50;1.7;8.77;519.86;6.87
CHEMBL1094839;CC1(C)C[C@@H](NC(=O)c2ccccc2O)c3cc(c4ccc(Cl)cc4)c(nc3O1)c5ccc(Cl)cc5Cl;IC50;4;8.4;553.87;8.11
CHEMBL1089338;CC(C)C(=O)c1oc2nc(c3ccc(Cl)cc3Cl)c(cc2c1N)c4ccc(Cl)cc4;IC50;1.9;8.72;459.76;7.54
CHEMBL1089352;CC(C)(C)C(=O)c1oc2nc(c3ccccc3Cl)c(cc2c1N)c4ccc(Cl)cc4;IC50;4.3;8.37;439.34;7.28
CHEMBL278236;Cc1c(nc(c2ccc(Cl)cc2Cl)n1c3ccc(Cl)cc3)C(=O)NCCc4ccc(Cl)cc4;Ki;33;7.48;519.26;7.43
CHEMBL569082;CC1(C)C(C(=O)c2cn(CCCC(F)(F)F)c3ccccc23)C1(C)C;Ki;14.79;7.83;351.41;5.85
CHEMBL194566;CCN(CC)S(=O)(=O)N\C(=N/C(C)C)\N1CC(C(=N1)c2ccc(Cl)cc2)c3ccccc3;Ki;60;7.22;476.05;4.08
CHEMBL490648;CCCCCCC(C)(C)c1cc(O)cc(OCCCCCCCC(=O)NC2CC2)c1;Ki;5.6;8.25;417.63;6.64
CHEMBL259699;Fc1ccc(cc1)C2(Oc3cc(F)c(cc3O2)C(=O)N4CCOCC4)c5ccc(F)cc5;Ki;18;7.75;441.41;4.25
CHEMBL263391;COc1ccc(cc1)C2(Oc3cc(F)c(cc3O2)C(=O)N4CCCCC4)c5ccc(Cl)cc5Cl;Ki;2;8.7;502.37;6.44
CHEMBL260625;Fc1cc2OC(Oc2cc1C(=O)N3CCCCC3)(c4ccccc4)c5ccccc5;EC50;1.2;8.92;403.45;5.12
CHEMBL410339;Fc1ccc(c(F)c1)C2(Oc3cc(F)c(cc3O2)C(=O)N4CCCCC4)c5ccc(F)cc5F;EC50;2;8.7;475.41;5.68
CHEMBL1801078;COc1cc(on1)C(=O)NC2(CC2)C(=O)N[C@H](C)c3ccc(cc3F)n4nc(OC)c5ccccc45;Ki;21;7.68;493.5;3.31
CHEMBL1801346;C[C@@H](NC(=O)C1(CC1)NC(=O)c2cncc(O)c2)c3ccc(cc3F)n4nc(Cl)c5ccccc45;Ki;0.3;9.52;493.93;4.06
CHEMBL1801355;C[C@@H](NC(=O)C1(CC1)NC(=O)C(F)(F)F)c2ccc(cc2F)n3nc(Cl)c4ccccc34;Ki;11;7.96;468.84;4.21
CHEMBL474602;Fc1ccccc1CNC(=O)Cn2nc(c3ccc(Cl)cc3Cl)c(n2)c4ccc(Cl)cc4Cl;IC50;19.3;7.71;524.21;6.68
CHEMBL376700;Clc1ccc(c(Cl)c1)n2nc(C(=O)NN3CCCCC3)c4CCCc5cc(Cl)ccc5c24;Ki;18.4;7.74;489.83;6.12
CHEMBL1800732;CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCOC(CO)COC(=O)CCCC#C;Ki;84.7;7.07;458.68;6.86
CHEMBL2071063;CCc1c([nH]c2ccc(Cl)cc12)C(=O)NCCc3ccc(cc3)N(C)C;EC50;50;7.3;369.9;4.42
CHEMBL574499;Cc1c(nn(c2ccc(F)cc2F)c1n3c(C)ccc3C)C(=O)NCc4ccc(Cl)cc4;Ki;56;7.25;454.91;5.45
CHEMBL3085420;O=C([C@@H]1CC12CCCCC2)c3cn(CC4CCOCC4)c5ccccc35;Ki;62;7.21;351.49;5.22
CHEMBL111;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NN4CCCCC4;Ki;5.37;8.27;463.8;5.94
CHEMBL1223588;CCCCCC1=NN(CC1c2ccccc2)C(=O)N[C@H]3C[C@H]4CC[C@]3(C)C4(C)C;Ki;46.8;7.33;395.59;5.95
CHEMBL1224631;CCCCCC1=NN(CC1c2ccccc2)C(=O)NC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C;Ki;15.6;7.81;395.59;5.8
CHEMBL1223776;CCCCCN1N=C(CC1c2ccccc2)C(=O)NC3C4CC5CC(CC3C5)C4;Ki;9.2;8.04;393.58;4.92
CHEMBL1223778;CCCCCN1N=C(CC1c2ccccc2)C(=O)N[C@H]3C[C@H]4CC[C@]3(C)C4(C)C;Ki;4.7;8.33;395.59;5.31
CHEMBL1269764;Cc1c(nn(c1c2ccc(Cl)cc2)c3ccc(Cl)cc3Cl)C(=O)NCCNCCNC(=O)c4nn(c(c4C)c5ccc(Cl)cc5)c6ccc(Cl)cc6Cl;Ki;94;7.03;830.43;9.68
CHEMBL1269774;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NCCCCCCCCCCCNCCCCCCCCCCCN;Ki;4.56;8.34;719.29;11.11
CHEMBL1269767;Cc1c(nn(c1c2ccc(Cl)cc2)c3ccc(Cl)cc3Cl)C(=O)NCCCCCCCCCNCCCCCCCCCNC(=O)c4nn(c(c4C)c5ccc(Cl)cc5)c6ccc(Cl)cc6Cl;Ki;54.1;7.27;1026.81;
CHEMBL1269776;CN(CCCCCCCCCCCN)CCCCCCCCCCCNC(=O)c1nn(c2ccc(Cl)cc2Cl)c(c1C)c3ccc(Cl)cc3;Ki;14.7;7.83;733.31;11.45
CHEMBL2018664;CC(C)(NC(=O)C1=CC2=C(CCCCCC2)N(CC3CCCCC3)C1=O)C(=O)N4CCC(O)CC4;Ki;8;8.1;485.67;3.58
CHEMBL1224373;CC(C)(C)C(=O)Nc1ccc2ncn(Cc3cccc(n3)c4cccc5OCOc45)c2c1;IC50;21;7.68;428.49;4.86
CHEMBL1224457;COc1cc(F)ccc1c2cccc(Cn3cnc4ccc(NC(=O)C(C)(C)C)cc34)n2;IC50;73;7.14;432.5;5.28
CHEMBL1224459;COc1cc(F)ccc1c2cccc(Cn3ccc4ccc(NC(=O)C(C)(C)C)cc34)c2;IC50;58;7.24;430.52;6.49
CHEMBL947;CCCCCCC(C)(C)c1cc(O)c2[C@@H]3CC(=O)CC[C@H]3C(C)(C)Oc2c1;Ki;5.1;8.29;372.55;6.26
CHEMBL1223590;CCCCC1=NN(CC1c2cccc(F)c2)C(=O)NC(C)(C)c3ccc(F)cc3;Ki;44.9;7.35;399.49;5.56
CHEMBL1084820;C[C@H](O)C(=O)NC1CC2(CCCCC2)Oc3nc(c4ccccc4Cl)c(cc13)c5ccc(Cl)cc5;IC50;13;7.89;511.45;6.75
CHEMBL476253;FC(F)(F)c1ccc(CC(=O)N2CCN(CC2)S(=O)(=O)c3cc(cc(c3)C(F)(F)F)C(F)(F)F)cc1;IC50;5;8.3;548.43;4.82
CHEMBL523300;CC(C)Oc1cc(cc(c1)S(=O)(=O)N2CCN(CC2)C(=O)[C@@H]3C[C@H]3c4ccc(cc4)C(F)(F)F)C(F)(F)F;IC50;0.3;9.52;564.55;5.15
CHEMBL480579;CSC(=S)N1CC2(CCCCC2)CO/C/1=N\c3ccc(Cl)c4CCCCc34;Ki;76;7.12;423.05;6.14
CHEMBL1083619;C[C@@H](O)C(=O)NC1CC2(CCCCC2)Oc3nc(c4ccccc4Cl)c(cc13)c5ccc(Cl)cc5;IC50;0.2;9.7;511.45;6.75
CHEMBL516406;CSC(=S)N1CC2(CCCCC2)CO/C/1=N\c3cccc4ccccc34;Ki;9.3;8.03;384.57;5.76
CHEMBL1082650;C[C@@H](O)NC(=O)C1CC(C)(C)N(C)c2nc(c3ccc(Cl)cc3Cl)c(cc12)c4ccc(Cl)cc4;IC50;29;7.54;518.87;6.53
CHEMBL1083025;CC1(C)CC(NC(=O)CCO)c2cc(c3ccc(Cl)cc3)c(nc2O1)c4ccc(Cl)cc4Cl;IC50;14;7.85;505.83;6.48
CHEMBL2030739;CCNC1(CCN(CC1)C(=O)c2nn(c(c2C)c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl)C(=O)N;Ki;78.4;7.11;534.88;4.88
CHEMBL2030743;Cc1c(nn(c1c2ccc(Cl)cc2)c3ccc(Cl)cc3Cl)C(=O)N4CCC(CC4)(NC(=O)NC(C)(C)C)c5ccccc5;Ki;47.1;7.33;639.03;8.04
CHEMBL2030744;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)N4CCC(CC4)(NC(=O)NCc5ccccc5)c6ccccc6;Ki;43;7.37;673.04;8.44
CHEMBL2030748;CCCCCCNC(=O)NC1(CCN(CC1)C(=O)c2nn(c3ccc(Cl)cc3Cl)c(c2C)c4ccc(Cl)cc4)c5ccccc5;Ki;38.8;7.41;667.08;8.82
CHEMBL2030749;CC(C)NC(=O)NC1(CCN(CC1)C(=O)c2nn(c3ccc(Cl)cc3Cl)c(c2C)c4ccc(Cl)cc4)c5ccccc5;Ki;13.5;7.87;625;7.65
CHEMBL462686;CC(C)CC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCCC4;IC50;1.2;8.92;529.54;7.13
CHEMBL1269769;CN(CCCCCNC(=O)c1nn(c2ccc(Cl)cc2Cl)c(c1C)c3ccc(Cl)cc3)CCCCCNC(=O)c4nn(c5ccc(Cl)cc5Cl)c(c4C)c6ccc(Cl)cc6;Ki;38.7;7.41;928.62;12.36
CHEMBL591541;Clc1ccc(cc1)N2C[C@H](CNS(=O)(=O)c3cccc4ccccc34)CC[C@H]2c5ccc(Cl)cc5Cl;Ki;2.3;8.64;559.95;7.74
CHEMBL1269765;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NCCCCCNCCCCCNC(=O)c4nn(c5ccc(Cl)cc5Cl)c(c4C)c6ccc(Cl)cc6;Ki;30.4;7.52;914.59;12.02
CHEMBL1269766;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NCCCCCCCNCCCCCCCNC(=O)c4nn(c5ccc(Cl)cc5Cl)c(c4C)c6ccc(Cl)cc6;Ki;4.41;8.36;970.7;13.58
CHEMBL570908;CC1(C)C(C(=O)c2cn(Cc3ccncc3)c4ccccc24)C1(C)C;Ki;48;7.32;332.45;4.95
CHEMBL569301;CSCCCCn1cc(C(=O)C2C(C)(C)C2(C)C)c3ccccc13;Ki;39;7.41;343.54;5.65
CHEMBL493303;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(C#CC4CCCC4)s3)C(=O)NN5CC6CCCC6C5;EC50;99.3;7;553.56;7.13
CHEMBL459305;CCC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CC5CCCC5C4;EC50;35.5;7.45;513.49;6.35
CHEMBL462052;CCC\C=C\c1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CC5CCCC5C4;EC50;71.4;7.15;529.54;7.41
CHEMBL259562;CC(=O)SC(CCc1ccccc1)[C@@H]2[C@H](N(C2=O)c3ccc(F)cc3)c4ccc(O)cc4;Ki;52.8;7.28;449.55;5.52
CHEMBL2030742;CC(=O)NC1(CCN(CC1)C(=O)c2nn(c3ccc(Cl)cc3Cl)c(c2C)c4ccc(Cl)cc4)c5ccccc5;Ki;62.6;7.2;581.93;7.08
CHEMBL2030750;CCNC(=O)NC1(CCN(CC1)C(=O)c2nn(c3ccc(Cl)cc3Cl)c(c2C)c4ccc(Cl)cc4)c5ccccc5;Ki;15;7.82;610.97;7.26
CHEMBL2030753;CCCCNC(=O)NC1(CCN(CC1)C(=O)c2nn(c3ccc(Cl)cc3Cl)c(c2C)c4ccc(Cl)cc4)c5ccccc5;Ki;15.5;7.81;639.03;8.04
CHEMBL2030759;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NC4CCN(CC4)C(=O)NC(C)(C)C;Ki;14.7;7.83;562.93;6.51
CHEMBL1828805;CCCCCn1cc(C(=O)Nc2cccc3ccccc23)c4ccccc14;Ki;1.259;8.9;356.47;6.24
CHEMBL406675;CC1CC(C)CN(C1)S(=O)(=O)c2ccc3oc(C(=O)NCc4ccccc4Cl)c(C)c3c2;Ki;58;7.24;475.01;4.99
CHEMBL493917;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(C#CC4CC4)s3)C(=O)NN5CC6CCCC6C5;IC50;21;7.68;525.51;6.35
CHEMBL522522;CCCCC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCCC4;IC50;1.7;8.77;529.54;7.28
CHEMBL461216;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Br)s3)C(=O)NN4CCCCCC4;IC50;40.7;7.39;528.3;6.5
CHEMBL442447;CC(NC(=O)c1ccc(C)c(c1)S(=O)(=O)N2CCOCC2)C34CC5CC(CC(C5)C3)C4;Ki;77;7.11;446.61;3.35
CHEMBL1801354;C[C@@H](NC(=O)C1(CC1)NC(=O)c2cncc(Cl)n2)c3ccc(cc3F)n4nc(Cl)c5ccccc45;Ki;1.2;8.92;513.36;4.4
CHEMBL260625;Fc1cc2OC(Oc2cc1C(=O)N3CCCCC3)(c4ccccc4)c5ccccc5;Ki;11;7.96;403.45;5.12
CHEMBL524087;Clc1ccc(cc1)n2c(nc3c(NC4CCCCC4)ncnc23)c5ccc(Cl)cc5Cl;Ki;7.1;8.15;472.81;7.19
CHEMBL1223648;CCCCCC1=NN(CC1c2ccccc2)C(=O)NC3CCCCCCC3;Ki;11.9;7.92;369.55;5.84
CHEMBL496770;Clc1ccc(cc1)n2c(nc3c(NN4CCCCC4)ncnc23)c5ccc(Cl)cc5Cl;Ki;7.4;8.13;473.8;6.26
CHEMBL496352;Clc1ccc(cc1)n2c(nc3c(ncnc23)N4CCCCC4)c5ccc(Cl)cc5Cl;Ki;6.1;8.21;458.78;6.43
CHEMBL576977;COc1ccc(CCNC(=O)c2nn(c3ccc(F)cc3F)c(c2C)n4c(C)ccc4C)cc1Cl;Ki;99;7;498.96;5.5
CHEMBL574270;CC(NC(=O)c1nn(c2ccc(Cl)c(Cl)c2)c(c1C)n3c(C)ccc3C)c4ccccc4;Ki;80;7.1;467.4;6.39
CHEMBL3341897;CCc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(C#Cc4ccc(cc4)C(F)(F)F)s3)C(=O)NN5CCCCC5;Ki;3;8.52;617.52;8.02
CHEMBL559612;CCCCCCC(C)(C)c1ccc([C@@H]2C[C@H](O)CC[C@H]2CCCO)c(O)c1;Ki;13;7.89;376.58;5.66
CHEMBL592703;Clc1ccc(cc1)N2C[C@@H](CC[C@H]2c3ccc(Cl)cc3Cl)C(=O)NC4CCCCC4;Ki;18;7.75;465.85;7.05
CHEMBL601936;CC(C)(C)OC(=O)N1CCN(C[C@@H]2CC[C@H](N(C2)c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl)CC1;Ki;8;8.1;538.95;7.16
CHEMBL1223716;CCCCC1=NN(C(=O)NC(C)(C)c2ccccc2)C(C)(C)C1c3ccccc3;Ki;9;8.05;391.56;6.06
CHEMBL2030740;Cc1c(nn(c1c2ccc(Cl)cc2)c3ccc(Cl)cc3Cl)C(=O)N4CCC(CC4)(NC(=O)OC(C)(C)C)c5ccccc5;Ki;42.3;7.37;640.01;8.46
CHEMBL2029722;CCN(CC(=O)NC1CC1)C(=O)c2ccc3c(c2)c4CC(CCc4n3C)C5CCOCC5;Ki;7.3;8.14;437.58;3.45
CHEMBL2029721;CN(CC(=O)NC1CC1)C(=O)c2ccc3c(c2)c4CC(CCc4n3C)C5CCOCC5;Ki;44.5;7.35;423.56;3.06
CHEMBL2030756;CC(=O)N1CCC(CC1)NC(=O)c2nn(c(c2C)c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl;Ki;65.3;7.18;505.83;5.55
CHEMBL3353438;CC1CCC(CC1)NC(=O)C2=Cc3cccnc3N(CCCCCCF)C2=O;Ki;35.67;7.45;387.5;4.23
CHEMBL56288;CCCCCCC(C)(C)c1cc(O)c(c(O)c1)c2cc(C)cc(C)c2;Ki;79.1;7.1;340.51;6.63
CHEMBL412071;OCc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(cc3)c4cccnc4)C(=O)NN5CCCCC5;Ki;5.8;8.24;522.44;5.53
CHEMBL3938905;Clc1ccc(cc1)C(c2ccc3nccc(\C=C\c4ccccc4)c3c2)c5nccs5;EC50;55.1;7.26;438.98;7.7
CHEMBL204188;FC(F)(F)CN1C=Nc2c(nn(c3ccccc3Cl)c2c4ccc(Cl)cc4)C1=O;Ki;0.3;9.52;439.22;5.12
CHEMBL2296777;Cc1c(nn(CCCCCCl)c1c2ccccc2)C(=O)NCC34CC5CC(CC(C5)C3)C4;Ki;5.984;8.22;454.06;6.21
CHEMBL1270662;CN(CCCCCCCN)CCCCCCCNC(=O)c1nn(c2ccc(Cl)cc2Cl)c(c1C)c3ccc(Cl)cc3;Ki;15.5;7.81;621.1;8.33
CHEMBL380937;FC(F)(F)CN1C=Nc2c(nn(c3ccc(Cl)cc3)c2c4ccccc4Cl)C1=O;Ki;28;7.55;439.22;5.12
CHEMBL1836189;O=S(=O)(\C(=C\c1cn(CCN2CCOCC2)c3ccccc13)\C#N)c4ccccc4;Ki;62;7.21;421.52;3.31
CHEMBL482742;FC(F)(F)CN1CCOc2c(nn(c3ccccc3Cl)c2c4ccc(Cl)cc4)C1=O;Ki;1.9;8.72;456.25;5.24
CHEMBL1923763;CCCCCCC(C)(C)c1cc(O)cc(OCCCCCCCCCCC(=O)OC(CO)CO)c1;Ki;10;8;494.71;6.43
CHEMBL568094;C[C@H](NC(=O)C(C)(C)Nc1ccccn1)[C@@H](Cc2ccc(Cl)cc2)c3cccc(c3)C#N;IC50;49;7.31;446.98;5.33
CHEMBL567513;C[C@H](NC(=O)C(C)(C)Nc1nc2ccccc2n1C)[C@@H](Cc3ccc(Cl)cc3)c4cccc(c4)C#N;IC50;97;7.01;500.05;5.82
CHEMBL188;Cc1c(C(=O)c2cccc3ccccc23)c4cccc5OC[C@@H](CN6CCOCC6)n1c45;Ki;9.2;8.04;426.52;4.6
CHEMBL203925;CCCN1C=Nc2c(nn(c3ccccc3Cl)c2c4ccc(Cl)cc4)C1=O;Ki;2;8.7;399.28;4.97
CHEMBL359945;Clc1ccc(cc1)c2oc(nc2c3ccc(Cl)cc3Cl)C(=O)NC4CCCCC4;IC50;80;7.1;449.77;7.03
CHEMBL373626;C[C@H](NC(=O)C(C)(C)Oc1ccc(cn1)C(F)(F)F)[C@@H](Cc2ccc(Cl)cc2)c3ccccc3;IC50;0.54;9.27;490.95;6.44
CHEMBL569301;CSCCCCn1cc(C(=O)C2C(C)(C)C2(C)C)c3ccccc13;Ki;38.9;7.41;343.54;5.65
CHEMBL465;CCCCCc1cc(O)c2[C@@H]3C=C(C)CC[C@H]3C(C)(C)Oc2c1;Ki;41;7.39;314.47;5.74
CHEMBL1270662;CN(CCCCCCCN)CCCCCCCNC(=O)c1nn(c2ccc(Cl)cc2Cl)c(c1C)c3ccc(Cl)cc3;Ki;37.5;7.43;621.1;8.33
CHEMBL294591;COc1cccc2c(nn(CCN3CCOCC3)c12)C(=O)NC4[C@@]5(C)CC[C@H](C5)C4(C)C;Ki;24;7.62;440.59;3.32
CHEMBL411626;CCCCCCC(C)(C)c1cc(O)c2[C@@H]3CC(=CC[C@H]3C(C)(C)Oc2c1)C;Ki;0.77;9.11;370.58;7.25
CHEMBL571330;CN1CCCCC1Cn2cc(C(=O)C3C(C)(C)C3(C)C)c4ccccc24;Ki;5.5;8.26;352.52;4.99
CHEMBL589093;Clc1ccc(cc1)N2C[C@@H](CC[C@H]2c3ccc(Cl)cc3Cl)S(=O)(=O)N4CCCCC4;Ki;16;7.8;487.88;6.17
CHEMBL468175;Fc1ccc(c(Cl)c1)c2noc(n2)C3CCN(CC3)c4cnc5c(cccc5c4)C(F)(F)F;EC50;15;7.82;476.86;6.48
CHEMBL205888;CC1=CC[C@@H]2[C@@H](C1)c3c(O)cc(cc3OC2(C)C)C4(CCCCC4)C#N;Ki;8.3;8.08;351.49;5.73
CHEMBL488109;FC(F)(F)c1ccc(cc1)[C@@H]2C[C@H]2C(=O)N3CCN(CC3)S(=O)(=O)c4cc(cc(c4)C(F)(F)F)C5=NNC(=O)O5;IC50;100;7;590.5;3.7
CHEMBL394305;CCCCCCC1(CC1)c2cc(O)c([C@@H]3C=C(C)CCC3C(=C)C)c(O)c2;Ki;58.88;7.23;368.56;7.12
CHEMBL1269767;Cc1c(nn(c1c2ccc(Cl)cc2)c3ccc(Cl)cc3Cl)C(=O)NCCCCCCCCCNCCCCCCCCCNC(=O)c4nn(c(c4C)c5ccc(Cl)cc5)c6ccc(Cl)cc6Cl;Ki;57.4;7.24;1026.81;
CHEMBL460343;CC(C)CC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;IC50;1.2;8.92;515.51;6.74
CHEMBL1828801;CCCCCn1cc(C(=O)c2ccccc2c3ccccc3)c4ccccc14;Ki;6.31;8.2;367.49;6.73
CHEMBL425870;CCCCOc1nc(c2ccc(Cl)cc2Cl)c(cc1C(=O)OC)c3ccc(Cl)cc3;IC50;1.9;8.72;464.78;7.34
CHEMBL178446;Fc1ccc(COc2nc(c3ccc(Cl)cc3)c(cc2C#N)c4ccc(Cl)cc4)cc1F;IC50;18;7.75;467.3;7.45
CHEMBL1083646;C[C@@H](O)C(=O)NC1CC(C)(C)Oc2nc(c(cc12)c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl;IC50;3;8.52;505.83;6.48
CHEMBL204232;CN1C(=O)C(=C(NC(=O)C)c2cc(c3ccc(Cl)cc3)c(nc12)c4ccc(Cl)cc4Cl)C(=O)C;IC50;7.5;8.12;514.8;6.39
CHEMBL1082305;CC1(C)CC(C(=O)N)c2cc(c3ccc(Cl)cc3)c(nc2O1)c4ccc(Cl)cc4Cl;IC50;97;7.01;461.78;6.51
CHEMBL1950335;CC1CCN(CC1)C(=O)c2ccc3c(c2)c4CN(CCc4n3CC=C)C5CCCCC5;Ki;56;7.25;419.61;5.39
CHEMBL188;Cc1c(C(=O)c2cccc3ccccc23)c4cccc5OC[C@@H](CN6CCOCC6)n1c45;Ki;36.2;7.44;426.52;4.6
CHEMBL1553629;;EC50;83;7.08;;
CHEMBL416718;Clc1ccc(cc1)n2c(C#N)c(nc2c3ccc(Cl)cc3Cl)C(=O)NN4CC5CCCC5C4;Ki;9;8.05;500.82;5.75
CHEMBL271839;Cc1ccc2c(cn(CC3CCOCC3)c2c1)C(=O)C4C(C)(C)C4(C)C;Ki;28;7.55;353.51;5.24
CHEMBL19847;CCCCCCC1(CC1)c2cc(O)c3[C@@H]4CC(=CC[C@H]4C(C)(C)Oc3c2)C;Ki;1;9;368.56;7.01
CHEMBL188;Cc1c(C(=O)c2cccc3ccccc23)c4cccc5OC[C@@H](CN6CCOCC6)n1c45;Ki;15;7.82;426.52;4.6
CHEMBL286188;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Br)cc3)C(=O)NN4CCCCC4;Ki;76.7;7.12;508.25;6.05
CHEMBL1801073;CCc1nn(c2ccc([C@@H](C)NC(=O)C3(CC3)NC(=O)c4onc(OC)c4)c(F)c2)c5ccccc15;Ki;19;7.72;491.52;3.86
CHEMBL1801074;COc1cc(on1)C(=O)NC2(CC2)C(=O)N[C@H](C)c3ccc(cc3F)n4nc(C5CC5)c6ccccc46;Ki;33;7.48;503.53;4.18
CHEMBL1801079;COc1cc(on1)C(=O)NC2(CC2)C(=O)N[C@H](C)c3ccc(cc3F)n4nc(C#N)c5ccccc45;Ki;2.4;8.62;488.48;3.17
CHEMBL1801083;COc1cc(on1)C(=O)NC2(CC2)C(=O)N[C@H](C)c3ccc(cc3F)n4ncc5CCCCc45;Ki;27;7.57;467.5;3.03
CHEMBL1801085;COc1cc(on1)C(=O)NC2(CC2)C(=O)N[C@H](C)c3ccc(cc3F)n4nc(Cl)c5ccccc45;Ki;0.67;9.17;497.91;3.95
CHEMBL1801339;C[C@@H](NC(=O)C1(CC1)NC(=O)c2scnc2C)c3ccc(cc3F)n4nc(Cl)c5ccccc45;Ki;8.2;8.09;497.98;4.72
CHEMBL1801353;C[C@@H](NC(=O)C1(CC1)NC(=O)c2cnccn2)c3ccc(cc3F)n4nc(Cl)c5ccccc45;Ki;16.5;7.78;478.92;3.75
CHEMBL285932;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(I)cc3)C(=O)NN4CCCCC4;Ki;7.5;8.12;555.25;5.89
