Molecule;Canonical Smiles;Standard Type;Standard Value;pChEMBL Value;Molecular Weight;ALogP
CHEMBL482771;CCCCNC(=O)c1ccc2Sc3ccccc3C(=Nc2c1)c4ccccc4Cl;Ki;25.12;7.6;420.97;6.5
CHEMBL382728;C[C@H](NS(=O)(=O)C)c1ccc(cc1)S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c3ccccc3F;Ki;1.3;8.89;532.04;3.75
CHEMBL120669;CCCCCCC1(CC1(Cl)Cl)c2cc(O)c3[C@@H]4CC(=CC[C@H]4C(C)(C)Oc3c2)C;Ki;1.27;8.9;437.45;7.79
CHEMBL411626;CCCCCCC(C)(C)c1cc(O)c2[C@@H]3CC(=CC[C@H]3C(C)(C)Oc2c1)C;Ki;0.83;9.08;370.58;7.25
CHEMBL496659;CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)c5ccc(cc15)[S+]([O-])c6ccccc6;Ki;28;7.55;516.71;6.06
CHEMBL526345;Fc1ccc(c(Cl)c1)c2noc(CCC(=O)Nc3cnc4ccc(Cl)cc4c3)n2;EC50;0.9;9.05;431.25;5.3
CHEMBL429055;CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCCC;Ki;7.3;8.14;345.57;6.66
CHEMBL1223591;CCCCC1=NN(CC1c2ccccc2F)C(=O)NC(C)(C)c3ccc(F)cc3;Ki;32;7.5;399.49;5.56
CHEMBL511404;CC(C)(C(=O)Nc1ccc(Cl)c(c1)c2occc2)S(=O)(=O)c3ccc(Cl)cc3;EC50;96;7.02;438.33;5.44
CHEMBL1224460;Cn1cc(Cc2cccc(c2)c3cccc4OCOc34)c5cc(NC(=O)C(C)(C)C)ccc15;IC50;37;7.43;440.54;6.15
CHEMBL1087874;Clc1ccc(Cl)c(c1)C(N2CCN(CC2)C(=O)NC3CCCCC3)c4ccccc4;Ki;5.9;8.23;446.42;5.74
CHEMBL1087251;Fc1cc(Br)ccc1C(N2CCN(CC2)C(=O)NC3CCCCC3)c4ccccc4;Ki;1.8;8.74;474.42;5.34
CHEMBL1095690;Clc1ccc(C(N2CCN(CC2)C(=O)C34CC5CC(CC(C5)C3)C4)c6ccccc6)c(Cl)c1;Ki;5.9;8.23;483.48;6.44
CHEMBL1093078;Clc1ccc(C(N2CCN(CC2)C(=O)NN3CCCCC3)c4ccccc4)c(Cl)c1;Ki;1.2;8.92;447.41;4.81
CHEMBL1093997;CCC(=O)c1oc2nc(c3ccc(Cl)cc3Cl)c(cc2c1N)c4ccc(Cl)cc4;IC50;17;7.77;445.73;7.3
CHEMBL1089018;Nc1c(oc2nc(c3ccc(Cl)cc3Cl)c(cc12)c4ccc(Cl)cc4)C(=O)c5ccccc5;IC50;3.5;8.46;493.78;7.94
CHEMBL1089353;CC(C)(O)C(=O)c1oc2nc(c3ccccc3Cl)c(cc2c1N)c4ccc(Cl)cc4;IC50;20;7.7;441.31;6
CHEMBL1090402;CC(=O)Nc1c(oc2nc(c3ccccc3Cl)c(cc12)c4ccc(Cl)cc4)C(=O)C(C)(C)C;IC50;0.58;9.24;481.38;7.66
CHEMBL1092168;CC(=O)Nc1c(oc2nc(c3ccccc3Cl)c(cc12)c4ccc(Cl)cc4)C(=O)C(C)(C)O;IC50;5.4;8.27;483.35;6.38
CHEMBL231202;COc1ccc(cc1)c2c(C)c3C(=O)N(CCc3n2c4ccccc4Cl)N5CCCCC5;Ki;20;7.7;449.98;5.51
CHEMBL231097;COc1ccc(cc1)c2c(C)c3C(=O)N(CCc3n2c4ccccc4C)C5CCCCC5;IC50;22;7.66;428.58;6.1
CHEMBL231096;COc1ccc(cc1)c2c(C)c3C(=O)N(CCc3n2c4ccccc4Cl)C5CCCCC5;Ki;7.5;8.12;448.99;6.45
CHEMBL1084039;CC1(C)CC(=O)c2cc(c3ccc(Cl)cc3)c(nc2O1)c4ccc(Cl)cc4Cl;IC50;47;7.33;432.73;7.12
CHEMBL1084556;Clc1ccc(cc1)c2cc3C(=O)CC4(CCCC4)Oc3nc2c5ccccc5Cl;IC50;23;7.64;424.33;7
CHEMBL1086013;CC(C)(C)C1CC(=O)c2cc(c3ccc(Cl)cc3)c(nc2O1)c4ccccc4Cl;IC50;1.9;8.72;426.34;7.1
CHEMBL1084555;Fc1cccc(c1)C2CC(=O)c3cc(c4ccc(Cl)cc4)c(nc3O2)c5ccccc5Cl;IC50;1.7;8.77;464.32;7.57
CHEMBL1215991;CCCCCN1C=C(C(=O)N[C@H]2C(C)(C)[C@H]3CC[C@]2(C)C3)C(=O)c4cc(Br)ccc14;Ki;2.8;8.55;473.46;5.9
