Canonical Smiles;Standard Type;Standard Value;pChEMBL Value;Molecular Weight;ALogP
NC(=O)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)N4CCN(CC4)c5ccc(cn5)C#N;IC50;1.2;8.92;560.45;4.1
NC(=O)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)N4CCC(CC4)(C#N)c5ccccc5;IC50;0.23;9.64;558.47;5.57
NC(=O)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)N4CCC(CC4)(C#N)c5ccccc5;IC50;0.11;9.96;558.47;5.57
NC(=O)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)N4CCC(O)(CC4)c5ccccn5;IC50;2;8.7;550.45;4.39
NC(=O)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)N4CCN(CC4)c5ccc(cn5)C#N;IC50;4.6;8.34;560.45;4.1
C[C@H](NS(=O)(=O)\C=C\c1ccccc1)[C@@H](Cc2ccc(Cl)cc2)c3cccc(c3)C#N;IC50;41.8;7.38;450.99;5.52
C[C@H](NS(=O)(=O)CCc1ccccc1)[C@@H](Cc2ccc(Cl)cc2)c3cccc(c3)C#N;IC50;19.3;7.71;453.01;5.09
COc1ccc(cc1)C2(Oc3cc(F)c(cc3O2)C(=O)N4CCCCC4)c5ccc(Cl)cc5Cl;EC50;5;8.3;502.37;6.44
COc1ccc2\C(=N\NC(=O)c3ccccc3)\C(=O)N(CC4CCCCC4)c2c1;EC50;61.2;7.21;391.47;3.76
C[C@H](NS(=O)(=O)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)[C@@H](Cc2ccc(Cl)cc2)c3cccc(c3)C#N;IC50;3.2;8.49;560.95;6.94
C[C@H](NC(=O)C(C)(C)Oc1cc(C)ccn1)[C@@H](Cc2ccc(OCCF)cc2)c3cccc(c3)C#N;IC50;0.47;9.33;489.59;5.3
C[C@H](NC(=O)C(C)(C)Oc1ccc(C)cn1)[C@@H](Cc2ccc(OCC[18F])cc2)c3cccc(c3)C#N;IC50;0.73;9.14;488.59;5.3
Fc1cc(F)cc(c1)S(=O)(=O)N2CCN(CC2)c3nc(c4ccccc4Cl)c(cc3C#N)c5ccc(Cl)cc5;IC50;3.8;8.42;585.46;6.38
CC(C)CNc1nc(c2ccc(Cl)cc2Cl)c(cc1C#N)c3ccc(Cl)cc3;IC50;89;7.05;430.77;7.32
Fc1ccc(cc1)C2(Oc3cc(F)c(cc3O2)C(=O)N4CCCCC4)c5ccc(Cl)cc5Cl;EC50;5;8.3;490.33;6.57
C[C@H](O)C(=O)NC1CC(C)(C)Oc2nc(c(cc12)c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl;IC50;4.8;8.32;505.83;6.48
COc1cc(F)ccc1c2cccc(Cn3ccc4ccc(NC(=O)C(C)(C)CO)cc34)n2;IC50;45;7.35;447.51;4.86
COc1cc(F)ccc1c2cccc(Cc3cn(C)c4ccc(NC(=O)CC(C)(C)O)cc34)n2;IC50;19;7.72;461.54;5.08
CCc1c(nn(c1c2ccc(Cl)cc2)c3ccc(Cl)cc3Cl)C4=NC(C)(C)C(=O)N4;IC50;32.6;7.49;461.78;5.72
CN1C(=NC(C)(C)C1=O)c2nn(c3ccc(Cl)cc3Cl)c(c2C)c4ccc(Cl)cc4;IC50;33.6;7.47;461.78;5.81
CC(C)(C)c1nc(NCC(F)(F)CO)c2cc(c3ccc(Cl)cc3)c(nc2n1)c4ccccc4Cl;IC50;9.5;8.02;517.41;7
CC(C)(C)C1=Nc2nc(c(cc2C3=NNC(=O)N13)c4ccc(Cl)cc4)c5ccccc5C#N;IC50;3.2;8.49;454.92;5.12
CC(C)(C)C1=Nc2nc(c3ccc(Cl)cc3Cl)c(cc2C(=O)N1)c4ccc(Cl)cc4;IC50;6;8.22;458.78;6.91
CC(C)(C)c1nc(N)c2cc(c3ccc(Cl)cc3)c(nc2n1)c4ccccc4Cl;IC50;40;7.4;423.35;6.55
Oc1nc(nc2nc(c3ccccc3Cl)c(cc12)c4ccc(Cl)cc4)c5ccc(Cl)cc5;IC50;59;7.23;478.77;7.69
O=C(NCC1CCC1)c2ncccc2NC(=O)c3cccc4ccccc34;IC50;6.1;8.21;359.43;4.02
C[C@H](NC(=O)C(C)(C)Oc1ccc(cn1)C(F)(F)F)[C@@H](Cc2ccc(Cl)cc2)c3cccc(c3)C#N;EC50;2.4;8.62;515.96;6.31
CN(CC(=O)NCCO)Cc1onc(n1)c2cn(CC3CCOCC3)c4c(Cl)cccc24;EC50;50.12;7.3;461.95;2.31
CN(C)S(=O)(=O)N(C)Cc1onc(n1)c2cn(CC3CCOCC3)c4c(Cl)cccc24;EC50;31.62;7.5;467.98;3.01
Cc1ccc(cc1)C(N2CCN(CC2)C(=O)NC3CCCCC3)c4ccc(Cl)cc4Cl;IC50;2.7;8.57;460.45;6.05
Clc1ccc(C(N2CCN(CC2)C(=O)NC3CCCCC3)c4ccc(Oc5ccccc5)cc4)c(Cl)c1;IC50;34;7.47;538.52;7.54
COc1ccc(cc1)C(N2CCN(CC2)C(=O)NC3CCCCC3)c4ccc(Cl)cc4Cl;IC50;82;7.09;476.45;5.75
Fc1ccc(NC(=O)c2nn(c3ccccc3Cl)c(c2CC#N)c4ccc(Cl)cc4)cc1;IC50;11;7.96;465.32;6.3
Cc1c(C(=O)c2cccc3ccccc23)c4cccc5OC[C@@H](CN6CCOCC6)n1c45;EC50;37.6;7.42;426.52;4.6
C[C@H](NS(=O)(=O)c1ccc2ccccc2c1)[C@@H](Cc3ccc(Cl)cc3)c4cccc(c4)C#N;IC50;15;7.82;475.01;6.06
C[C@H](NS(=O)(=O)c1c(Cl)cccc1Cl)[C@@H](Cc2ccc(Cl)cc2)c3cccc(c3)C#N;IC50;29.8;7.53;493.84;6.21
Cc1c2C(=O)N(CCc2n(c1c3ccccc3)c4ccc(Cl)cc4Cl)C5CCCCC5;IC50;16;7.8;453.41;7.09
C[C@H](NC(=O)CCc1ccccc1)[C@@H](Cc2ccc(Cl)cc2)c3cccc(c3)C#N;IC50;38.3;7.42;416.95;5.68
Cc1c2C(=O)N(CCc2n(c1c3cccs3)c4ccc(Cl)cc4Cl)C5CCCCC5;IC50;19;7.72;459.44;7.15
Cc1c2C(=O)N(CCc2n(c1c3ccsc3)c4ccc(Cl)cc4Cl)C5CCCCC5;IC50;37;7.43;459.44;7.15
Clc1ccc(cc1)c2c(CC#N)c(nn2c3ccccc3Cl)C(=O)NCc4ccc(Cl)cc4Cl;IC50;1.6;8.8;530.24;7.15
COc1ccc(F)c(c1)c2c[nH]c(n2)c3cccc(CN4CCC(F)(F)CC4)c3;EC50;25;7.6;401.43;5.12
FC(F)(F)c1ccc(cc1)C(=O)N2CCN(CC2)S(=O)(=O)c3cc(cc(c3)C(F)(F)F)C4CC4;IC50;58;7.24;506.47;4.75
FC(F)(F)c1ccc(cc1)[C@@H]2C[C@H]2C(=O)N3CCN(CC3)S(=O)(=O)c4cc(cc(c4)C(F)(F)F)c5cn[nH]n5;IC50;3;8.52;573.52;4.15
FC(F)(F)c1cc(cc(c1)S(=O)(=O)N2CCN(CC2)C(=O)C3CCCCC3)C(F)(F)F;EC50;1;9;472.45;4.14
N\C(=N/S(=O)(=O)c1ccc(I)cc1)\N2C[C@@H](C(=N2)c3ccc(Cl)cc3)c4ccccc4;IC50;1.9;8.72;564.84;4.45
