Canonical Smiles,Standard Type,Standard Value,Standard Units,pChEMBL Value,#Ro5 Violations,Molecular Weight,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,ALogP
C[C@@H]1N(CC[C@@]1(O)c2ccc(F)cc2)c3ccc(C#N)c(Cl)c3,IC50,8,nM,8.1,0,330.79,24.48,0.48,4.26,17.13,3.84
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,IC50,4.571,nM,8.34,0,288.43,28.92,0.54,4.46,22.36,3.88
Cc1c(C#N)c(c(C)n1Cc2cccnc2)c3ccc(cc3)C#N,IC50,3.4,nM,8.47,0,312.38,27.11,0.48,4.51,12.95,3.96
C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O,IC50,0.2,nM,9.7,0,272.39,35.61,0.66,6.15,26,3.55
Cc1cc(O)ccc1c2ccc(C#N)n2C,IC50,3.7,nM,8.43,0,212.25,39.73,0.72,5.85,17.23,2.58
C[C@]12C[C@@H](NS(=O)(=O)c3cccnc3)[C@](C)(O1)[C@H]4[C@@H]2C(=O)N(C4=O)c5ccc(C#N)c(c5)C(F)(F)F,IC50,7,nM,8.15,1,520.49,15.67,0.31,5.77,6.3,2.38
CCCCN1CC(C)(C)C(Oc2ccc(C#N)c(c2)C(F)(F)F)C1=O,IC50,10,nM,8,0,354.37,,,,,3.99
FC(F)(F)CN(C(=O)C(F)(F)F)c1ccc2NC(=O)C=C(c2c1)C(F)(F)F,IC50,4.1,nM,8.39,0,406.2,,,,,4
C[C@](O)(COc1ccc(Cl)cc1F)C(=O)N2CCc3c(cccc23)C#N,IC50,5,nM,8.3,0,374.8,22.15,0.44,5.23,11.28,3.07
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C,IC50,10,nM,8,1,429.6,,,,,5.41
C[C@H]1[C@@H](O)CC(=O)N1c2ccc(C#N)c(Cl)c2,IC50,7.8,nM,8.11,0,250.69,32.34,0.65,6.41,12.6,1.7
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,IC50,4.17,nM,8.38,0,288.43,29.05,0.54,4.5,22.47,3.88
Cc1c(Cl)c(ccc1N2C3CCC2CC(C)(O)C3)C#N,IC50,2.11,nM,8.68,0,290.79,29.83,0.59,5.28,18.36,3.4
N#Cc1ccc(N2CCCC2)c3ccccc13,IC50,2.5,nM,8.6,0,222.29,38.7,0.69,5.29,31.82,3.31
CN1C(=O)N(C(=O)[C@@]1(C)c2ccc(O)cc2)c3ccc(C#N)c(c3)C(F)(F)F,IC50,9.6,nM,8.02,0,389.33,20.59,0.39,4.42,9.47,3.6
COC(=O)c1c(C)n(Cc2ccccc2)c(C)c1c3ccc(cc3)[N+](=O)[O-],IC50,5,nM,8.3,0,364.4,22.78,0.42,3.78,11.16,4.52
C[C@H]1[C@@H](O)CCN1c2ccc(C#N)c3ccccc23,IC50,2.2,nM,8.66,0,252.32,34.31,0.62,5.99,18.32,2.67
C[C@H]1[C@H](CCN1c2ccc(C#N)c3ccccc23)C(C)(C)O,IC50,1.4,nM,8.85,0,294.4,30.07,0.55,5.15,18.73,3.7
Cn1c(ccc1c2ccc(O)cc2C#N)C#N,IC50,6.8,nM,8.17,0,223.24,36.59,0.66,6.03,11.23,2.14
C[C@H]1[C@@H](O)CCN1c2ccc(C#N)c(Cl)c2C,IC50,0.19,nM,9.72,0,250.73,38.77,0.78,7.24,20.57,2.48
C[C@]12C[C@H](O)[C@](C)(O1)[C@H]3[C@@H]2C(=O)N(C3=O)c4ccc(C#N)c(I)c4,IC50,10,nM,8,0,438.22,18.26,0.46,6.42,8.83,1.58
COc1ccc(OC[C@](C)(O)C(=O)N2CCc3c(cccc23)C#N)c(Cl)c1,IC50,3.5,nM,8.46,0,386.83,21.86,0.43,5.52,10.21,2.94
CC[C@H]1[C@@H](O)CC(=O)N1c2ccc(C#N)c(Cl)c2,IC50,3.9,nM,8.41,0,264.71,31.77,0.64,6.32,13.07,2.09
Cn1c(ccc1c2ccc(O)c3CCCc23)C#N,IC50,8.1,nM,8.09,0,238.29,33.96,0.61,5.33,16.53,2.76
C[C@@H]1N(CC[C@]1(C)O)c2ccc(C#N)c(Cl)c2C,IC50,0.2,nM,9.7,0,264.76,36.63,0.74,6.83,20.52,2.87
Cc1c(Cl)c(ccc1N2C3CCC2CC(C)(O)C3)C#N,IC50,2.11,nM,8.68,0,290.79,29.83,0.59,5.28,18.36,3.4
C[C@]12CCC3C(CCC4=CC(=O)CCC34)C1C5CC5[C@@]26CCC(=O)O6,IC50,6,nM,8.22,0,340.46,24.15,0.45,4.16,18.96,4.06
N#C[C@H]1CCCN1c2ccc(C#N)c3ccccc23,IC50,1,nM,9,0,247.3,36.39,0.65,5.8,17.71,3.2
C[C@H]1C[C@@H]2[C@H](CC[C@@]3(C)[C@H]2CC[C@]3(OC(=O)C)C(=O)C)[C@@]4(C)CCC(=O)C=C14,IC50,6.1,nM,8.21,0,386.53,21.25,0.4,3.55,13.59,4.66
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,IC50,0.67,nM,9.17,0,290.45,31.59,0.6,5.21,24.59,3.96
FC(F)(F)C1=CC(=O)Oc2cc3NCCCc3cc12,IC50,1,nM,9,0,269.22,33.43,0.65,5.83,21.31,3.17
Cc1cc(ccc1O)c2ccc(C#N)n2C,IC50,2.9,nM,8.54,0,212.25,40.22,0.73,5.96,17.44,2.58
Cn1c(ccc1c2ccc(O)cc2)C#N,IC50,6.3,nM,8.2,0,198.22,41.37,0.75,5.93,16.75,2.27
C[C@]12C[C@@H](NS(=O)(=O)c3ccccc3)[C@](C)(O1)[C@H]4[C@@H]2C(=O)N(C4=O)c5ccc(C#N)c(c5)C(F)(F)F,IC50,1,nM,9,1,519.5,17.32,0.34,6.02,7.72,2.98
Cn1c(ccc1c2c(F)cc(O)cc2F)C#N,IC50,1.6,nM,8.8,0,234.21,37.56,0.71,6.25,17.97,2.55
Cn1c(ccc1c2ccc(O)cc2F)C#N,IC50,3.2,nM,8.49,0,216.22,39.29,0.73,6.08,17.35,2.41
