idx,smi,syba, SAScore, SCScore, Berzt, Withlock, Barone, SMCM, TWC
ZINC000362542844,CC(=O)N(C)c1ccc(C(=O)N2CCCC(C(F)(F)F)C2C)cc1,38.918013,3.216228,4.673340,613,23,469,45.125000,10
ZINC000291589055,COCCN(Cc1ccc2c(c1)OCO2)C(=O)NCC(C)(OC)C1CC1,69.471020,3.216167,3.845699,634,23,470,39.445000,10
ZINC000471717385,CC(CNC(=O)NC(C)CCC(=O)OC(C)C)Cn1cccn1,80.031470,3.216062,3.572232,473,19,370,39.988000,8
ZINC000474378229,CCN(C)C(=O)C(C)NS(=O)(=O)c1ccc2c(c1)S(=O)(=O)CC2,44.725546,3.215745,4.517099,830,29,449,35.747000,9
ZINC000494763342,CC1C(=O)N(C)CCN1C(=O)Cc1ccon1,24.779894,3.215358,3.714890,415,20,341,27.558000,7
ZINC000364448757,CC(C)CNC(=O)c1ccc(NC(=O)N2CC(O)C3(CC3)C2)cc1,39.641688,3.215346,4.512839,622,24,461,42.839000,10
ZINC000487313074,CCCC(C)(CO)NCC=Cc1ccncc1,30.164126,3.214666,2.957580,337,11,287,32.369000,6
ZINC000133268297,Cc1nc(-c2cccc(NC(=O)C(=O)N3CC4CCCC4C3)c2)n[nH]1,54.934596,3.214654,4.330425,803,31,577,40.150000,10
ZINC000506079041,NC(=O)c1cnn2c1CC(CNC(=O)NCCNc1cccc(Br)c1)CC2,58.811074,3.214363,4.988887,821,27,542,49.477000,11
ZINC000351564212,COc1nc(NC(CO)c2ccsc2)ncc1Br,58.331390,3.213951,2.862306,506,17,374,27.774000,7
ZINC000460072814,CC1CCCN(C(=O)C(=O)N2CCOC(C(C)C)C2)CC1,31.442725,3.213869,3.989875,383,21,379,35.581000,8
ZINC000170904574,CC1CN(C(=O)CSCC(N)=O)CCS1,19.986711,3.213758,3.704933,248,16,251,21.040000,5
ZINC000424806867,O=C(CCc1cccc(OC(F)F)c1)N1CCCC(C(O)C(F)(F)F)C1,68.683844,3.213721,4.334010,608,23,475,48.803000,10
ZINC000370752498,Cc1cccc(-n2cc(C(=O)NCC3CCCC3N3CCOCC3)nn2)c1,55.324784,3.213703,4.365053,784,29,571,51.147000,11
ZINC000470331277,O=C(Nc1cc(F)ccc1OC(F)F)C(=O)NC1CC1c1c(F)cccc1F,60.473749,3.213583,3.637912,901,30,595,48.436000,11
ZINC000258827632,CCC(C)Nc1cc(N2CCCC2CO)ncn1,37.292279,3.213347,3.674042,385,17,352,35.546000,7
ZINC000217864116,CCC(C)C(CO)NC(=O)C(Cc1ccccc1)N1Cc2ccccc2C1=O,47.189226,3.213339,3.302017,821,27,588,54.978000,11
ZINC000133890099,CC(C)CN(C(=O)c1cn[nH]c1)C1CCCc2cccnc21,45.888736,3.213319,3.880100,635,21,467,41.615000,9
ZINC000480356864,CC(NC(c1cccc(F)c1)c1nccn1C)c1ccc(Cl)c(Cl)c1Cl,73.451482,3.213201,3.541221,926,23,577,45.297000,10
ZINC000367919724,Cc1cccc2c1OCCC2NC(=O)NCc1nccc(C(F)F)n1,46.777226,3.213003,4.710440,770,24,530,40.339000,10
ZINC000119123350,CCC(CC)C(CNC(=O)C(C)(C)COC)N1CCOCC1,53.538565,3.212998,3.530159,323,13,308,37.849000,8
ZINC000367234607,Cc1c(C2CCCN2C(=O)c2coc(Br)c2)cnn1C,42.710602,3.212944,3.829332,646,22,431,34.226000,8
ZINC000488436523,CCCCSC(C)C(=O)Nc1ncc2c(n1)CCC(C)(C)C2,37.195955,3.212903,4.108651,530,17,407,36.436000,9
ZINC000438034686,CCN(CC)C(=O)Cn1ccc2cc(NC(=O)N3CC(C)C(C)C3)ccc21,72.974492,3.212866,3.954390,814,26,535,46.131000,11
ZINC000420456043,Cc1cc(N)cc(CNS(=O)(=O)N2CC(C)OC(C)C2)c1,40.104451,3.212830,3.488550,573,23,418,37.785000,8
ZINC000290595494,COC(=O)c1coc(CN2CCCCCC2c2c(C)n[nH]c2C)c1,47.208078,3.212640,4.246381,684,22,491,37.751000,10
ZINC000376037968,O=C1COc2ncc(C(=O)N3CCC(C(F)c4ccccc4F)CC3)cc2N1,25.721700,3.212494,4.171926,913,30,620,47.911000,11
ZINC000506460842,CC(=O)Nc1cccc(NC(=O)C(=O)NCC(C)(C)N2CC(C)CC(C)C2)c1C,67.630281,3.212246,3.493820,765,25,538,49.327000,11
ZINC000517024016,Cc1ccc(CNC(=O)C(=O)N2CCOC3(CCCC3)C2)nc1C,50.205363,3.212125,4.232112,638,22,462,36.683000,10
ZINC000181543190,COCc1noc(C(C)N2CCOC(c3ccc(F)cc3)C2)n1,48.438383,3.212120,4.395474,631,23,487,38.160000,9
ZINC000449632029,COc1ccccc1C(C)CC(=O)NC(CCN)C(F)F,30.843467,3.212092,3.347820,455,16,364,38.566000,8
ZINC000272412172,COCCC(NC(=O)Nc1nc(C)c(C)o1)c1ccco1,71.641457,3.212031,3.340571,557,19,401,27.748000,8
ZINC000360323748,Cc1csc(-c2cccc(C(=O)N3CCOC(c4ncon4)C3)c2)n1,55.657798,3.211875,4.255338,877,28,572,36.615000,10
ZINC000338421862,CC(=O)N1CCc2ccc(S(=O)(=O)N3CCC(F)(CO)C3)cc21,31.847725,3.211865,4.237471,751,28,476,40.903000,9
ZINC000422494976,CC(NC(=O)C(=O)N1CCCC1COc1ccc(F)cc1)c1ccn(C)n1,68.933137,3.211680,4.391970,805,28,550,44.960000,11
ZINC000549362486,Cc1ccnc(Oc2cc(NC(=O)C(=O)NC3CCCc4nn(C)cc43)ccc2C)c1,67.070543,3.211546,4.730535,1137,30,680,49.949000,12
ZINC000427051901,Cc1nc(C2CCCN2C(=O)C(=O)Nc2ccccc2SCCC#N)cs1,66.361311,3.211416,4.009062,874,30,560,38.042000,11
ZINC000194482458,CC(C)Cn1cc(C(=O)N2CCCC(c3nc(N(C)C)no3)C2)cn1,59.683599,3.211193,4.969928,720,24,485,41.964000,10
ZINC000534903618,CCC(CC)C(C)C(=O)NC1CCN(c2ccccc2F)C1=O,35.321495,3.211053,3.978083,571,21,436,44.042000,9
ZINC000518137436,CC(C)Oc1ccc(C(C)NC(=O)N2CCC3CNCC3CC2)cc1,35.906000,3.210879,4.165099,558,25,507,47.917000,10
ZINC000466726353,CC1CN(S(=O)(=O)NCc2ccc(CCN(C)C)cc2)C(C)CO1,41.142344,3.210616,4.619433,616,23,439,41.499000,9
